,Proposal,FormType
0,SIA/MH/INFRA2/413215/2023,Parivesh
1,SIA/MH/MIN/411339/2022,Parivesh
2,SIA/MH/MIN/410533/2022,Parivesh
3,SIA/MH/MIN/410336/2022,Parivesh
4,SIA/MH/MIN/410404/2022,Parivesh
5,SIA/MH/MIN/264043/2022,Form-2
6,SIA/MH/MIN/264036/2022,Form-2
7,SIA/MH/MIN/408597/2022,Parivesh
8,SIA/MH/MIN/408602/2022,Parivesh
9,SIA/MH/INFRA2/413785/2023,Parivesh
10,SIA/MH/NCP/59235/2016,Missing
11,SIA/MH/MIS/208215/2021,Form-1
12,SIA/MH/MIS/229925/2021,Form-1
13,SIA/MH/MIS/229928/2021,Form-1
14,SIA/MH/MIS/250442/2022,Form-1
15,SIA/MH/IND2/62118/2021,Form-2
16,SIA/MH/MIN/251054/2022,Form-2
17,SIA/MH/MIN/421972/2023,Parivesh
18,SIA/MH/MIS/236465/2021,Form-1
19,SIA/MH/MIN/234371/2021,Form-2
20,SIA/MH/IND3/247836/2021,Form-1
21,SIA/MH/MIS/248441/2021,Form-1
22,SIA/MH/MIN/248517/2021,Form-2
23,SIA/MH/MIN/248238/2021,Form-2
24,SIA/MH/MIS/237251/2021,Form-1
25,SIA/MH/MIS/72029/2015,Form-2
26,SIA/MH/MIN/253193/2022,Form-2
27,SIA/MH/MIN/252745/2022,Form-2
28,SIA/MH/MIS/275173/2022,Form-1
29,SIA/MH/MIS/71662/2022,Form-2
30,SIA/MH/MIN/283445/2022,Form-2
31,SIA/MH/MIS/283198/2022,Form-1
32,SIA/MH/MIS/282593/2022,Form-1
33,SIA/MH/MIN/91489/2019,Missing
34,SIA/MH/MIN/253223/2022,Form-2
35,SIA/MH/MIN/253303/2022,Form-2
36,SIA/MH/IND2/280814/2022,Form-2
37,SIA/MH/MIN/403734/2022,Parivesh
38,SIA/MH/INFRA2/403461/2022,Parivesh
39,SIA/MH/MIN/404811/2022,Parivesh
40,SIA/MH/MIS/72498/2014,Form-2
41,SIA/MH/MIN/262911/2022,Form-2
42,SIA/MH/MIS/272554/2022,Form-1
43,SIA/MH/MIS/272359/2022,Form-1
44,SIA/MH/MIN/272920/2022,Form-2
45,SIA/MH/INFRA2/405867/2022,Parivesh
46,SIA/MH/MIS/267250/2022,Form-1
47,SIA/MH/MIN/161167/2020,Form-2
48,SIA/MH/MIN/161558/2020,Form-2
49,SIA/MH/MIS/127657/2019,Form-1
50,SIA/MH/INFRA2/412424/2022,Parivesh
51,SIA/MH/INFRA2/412916/2023,Parivesh
52,SIA/MH/MIN/415910/2023,Parivesh
53,SIA/MH/INFRA2/401963/2022,Parivesh
54,SIA/MH/MIN/402265/2022,Parivesh
55,SIA/MH/INFRA2/403987/2022,Parivesh
56,SIA/MH/INFRA2/400370/2022,Parivesh
57,SIA/MH/MIN/402889/2022,Parivesh
58,SIA/MH/INFRA2/417466/2023,Parivesh
59,SIA/MH/MIN/416767/2023,Parivesh
60,SIA/MH/MIN/419378/2023,Parivesh
61,SIA/MH/INFRA2/423912/2023,Parivesh
62,SIA/MH/MIN/423229/2023,Parivesh
63,SIA/MH/MIN/417217/2023,Parivesh
64,SIA/MH/MIN/417233/2023,Parivesh
65,SIA/MH/IND3/73808/2022,Form-2
66,SIA/MH/MIN/290278/2022,Form-2
67,SIA/MH/IND3/82941/2021,Form-2
68,SIA/MH/MIN/411327/2022,Parivesh
69,SIA/MH/MIN/411395/2022,Parivesh
70,SIA/MH/MIN/154703/2020,Form-2
71,SIA/MH/MIN/154823/2020,Form-2
72,SIA/MH/MIN/154845/2020,Form-2
73,SIA/MH/MIN/38164/2016,Missing
74,SIA/MH/MIN/38167/2016,Missing
75,SIA/MH/INFRA2/411388/2022,Parivesh
76,SIA/MH/MIN/413071/2023,Parivesh
77,SIA/MH/IND3/241135/2021,Form-1
78,SIA/MH/MIS/241944/2021,Form-1
79,SIA/MH/MIS/241460/2021,Form-1
80,SIA/MH/MIN/242177/2021,Form-2
81,SIA/MH/MIS/266210/2022,Form-1
82,SIA/MH/MIS/265910/2022,Form-1
83,SIA/MH/NCP/30312/2015,Missing
84,SIA/MH/MIS/236635/2021,Form-1
85,SIA/MH/MIN/235183/2021,Form-2
86,SIA/MH/MIN/237708/2021,Form-2
87,SIA/MH/MIS/236735/2021,Form-1
88,SIA/MH/MIN/406886/2022,Parivesh
89,SIA/MH/MIN/410136/2022,Parivesh
90,SIA/MH/MIN/407818/2022,Parivesh
91,SIA/MH/MIN/414215/2023,Parivesh
92,SIA/MH/INFRA2/414871/2023,Parivesh
93,SIA/MH/INFRA2/423708/2023,Parivesh
94,SIA/MH/MIS/239337/2021,Form-1
95,SIA/MH/INFRA2/418607/2023,Parivesh
96,SIA/MH/INFRA2/419029/2023,Parivesh
97,SIA/MH/INFRA2/415601/2023,Parivesh
98,SIA/MH/INFRA2/422230/2023,Parivesh
99,SIA/MH/IND2/175731/2020,Form-1
100,SIA/MH/MIN/411119/2022,Parivesh
101,SIA/MH/MIN/410483/2022,Parivesh
102,SIA/MH/MIN/410260/2022,Parivesh
103,SIA/MH/MIN/410192/2022,Parivesh
